Name,City,Date,Review,Ratings
Mohammad  Zishan ,"Certified Buyer, Koch Bihar",10 months ago,Amazing one_____😍😘✌️READ MORE,5
Akash  Deep,"Certified Buyer, Delhi Division",10 months ago,Camera is just wow. All classes clicks are done at night....phone Performance is awesome.... I'm writing now again for review...it's really maintained its premium imageREAD MORE,5
KaryD,"Certified Buyer, New Delhi","Sep, 2023",Awestruck by its performance 👌READ MORE,5
Biswadeep Roy,"Certified Buyer, Durg","Sep, 2023",Far better than 15pro no finger print even with moisturize handsREAD MORE,5
SHUVAM DAS,"Certified Buyer, Haldia","Oct, 2023","Switching Android to ios awesome experience,I just love it . And thanks Flipkart for open box delivery option.READ MORE",5
Deepti Rankhambe,"Certified Buyer, Ranjangaon Midc",10 months ago,Overall performance is best.Good aesthetic and nice color. Only thing worries me that it gets really hot with increase of brightness and during 15 min video call..READ MORE,4
Mohammad  Mubarak,"Certified Buyer, Aligarh",11 months ago,Everything lovely Just for the first time u wont feel much difference b/w pro and non pro model iphones.READ MORE,4
Jayanth K B,"Certified Buyer, Hyderabad","Oct, 2023",I just loved it 😍Thank you so much ❤️READ MORE,5
Mohamed Suheb,"Certified Buyer, Haveri",10 months ago,"Mind blowing purchase, I received the right item. Thank you Flipkart.If telling about iPhone its value for moneyGreat camera and video. 5/5Display 5/5Sound and heroics 5/5 Overall good.READ MORE",5
Sudipto Sarkar,"Certified Buyer, Pune",10 months ago,What a phone super performance with light weight. Please find my details review as follows. 1. Camera - camera is super with very gud quality photo even at night as well. 2. Battery - battery backup is fine and will last for one day long. 3. Performance - iphone 15 performance is super. No lagging and no heating issue. Cons-1. Battery could be better at this price range. 2. Face recognition is not good as not always open with face IDREAD MORE,5
Krupansh Patel,"Certified Buyer, Valsad District","Oct, 2023",Overall Beast Performance 🔥10/10 Just Go For It 😎👍READ MORE,5
Dev Sarda,"Certified Buyer, Malda","Oct, 2023",The best one from apple💙READ MORE,5
